date, S, V, implied_vol, delta, HE, PNL
2011-07-05,532.44,44.2,0.262202,0.722613,0,0
2011-07-06,535.36,46.9,0.271997,0.733278,-0.592532,2.7
2011-07-07,546.6,55.3,0.272589,0.787526,-0.753126,11.1
2011-07-08,531.99,43.95,0.271319,0.71936,-0.911904,-0.249942
2011-07-11,527.28,41,0.278836,0.691477,-1.35232,-3.2
2011-07-12,534.01,46.4,0.289853,0.722731,-2.10087,2.2
2011-07-13,538.26,49.3,0.290271,0.745022,-1.93171,5.1
2011-07-14,528.94,41.15,0.275211,0.706872,-0.727551,-3.05
2011-07-15,597.62,99.65,0.284765,0.940683,-10.6816,55.45
2011-07-18,594.94,97.65,0.303965,0.926389,-11.2054,53.45
2011-07-19,602.55,103.8,0.269529,0.960206,-10.3084,59.6
2011-07-20,595.35,97.8,0.303449,0.931852,-11.2251,53.6
2011-07-21,606.99,108.15,0.279289,0.964158,-10.7319,63.95
2011-07-22,618.23,118.7,0.252032,0.985862,-10.4486,74.5
2011-07-25,618.98,119.95,0.298332,0.971489,-10.9632,75.75
2011-07-26,622.52,123.25,0.291152,0.978467,-10.8281,79.05
2011-07-27,607.22,108.65,0.309199,0.957596,-11.2027,64.45
2011-07-28,610.94,112.1,0.307169,0.964875,-11.0945,67.9
2011-07-29,603.69,106.8,0.375561,0.924645,-12.7939,62.6
